id,nombre,sintomas,medicamento
100,Tuberculosis 891,erupciones;dolor articular,Amoxicilina solucion oral
101,Tuberculosis 158,dolor articular;dolor muscular;fatiga,Metformina solucion oral
102,Neumonia 421,perdida de apetito,Insulina 500mg
103,Sinusitis 245,dolor muscular;tos;mareo;inflamacion,Cetirizina 500mg
104,Bronquitis 744,fiebre,Amoxicilina solucion oral
105,Neumonia 353,inflamacion;nauseas;diarrea,Amoxicilina 500mg
106,Gripe 829,mareo;fatiga,Amoxicilina 500mg
107,Gripe 784,dolor articular;inflamacion;fatiga;dolor de cabeza,Ibuprofeno 1g
108,Migrana 286,mareo;fiebre;dolor articular;dolor de cabeza,Losartan solucion oral
109,Covid-19 614,vomitos,Salbutamol 500mg
110,Covid-19 462,fiebre;dolor articular,Insulina comprimidos
111,Dermatitis 202,escalofrios;dolor articular;erupciones,Prednisona comprimidos
112,Gastritis 80,inflamacion,Insulina 1g
113,Tuberculosis 964,fatiga;perdida de apetito;dolor articular,Amoxicilina comprimidos
114,Bronquitis 771,erupciones,Cetirizina comprimidos
115,Dermatitis 880,diarrea;escalofrios;tos;inflamacion,Losartan 1g
116,Gastritis 817,dificultad para respirar;dolor de cabeza;dolor articular;fatiga,Losartan comprimidos
117,Artritis 15,perdida de apetito;fatiga,Cetirizina comprimidos
118,Hepatitis 566,dolor articular,Amoxicilina 1g
119,Hepatitis 430,dolor abdominal;inflamacion,Metformina 1g
120,Migrana 188,dolor articular;fiebre,Amoxicilina 500mg
121,Meningitis 970,fiebre,Insulina comprimidos
122,Diabetes 18,dificultad para respirar,Omeprazol comprimidos
123,Dermatitis 128,dificultad para respirar;erupciones,Omeprazol solucion oral
124,Tuberculosis 15,fiebre;dolor articular;dolor muscular,Cetirizina 500mg
125,Artritis 409,dolor de cabeza;diarrea;erupciones;tos,Salbutamol 500mg
126,Otitis 929,dolor abdominal,Insulina solucion oral
127,Hepatitis 777,mareo;dolor articular;escalofrios;dificultad para respirar,Ibuprofeno 1g
128,Tuberculosis 473,dificultad para respirar;dolor articular;dolor de cabeza,Prednisona 500mg
129,Covid-19 894,dolor articular;vomitos,Aciclovir 1g
130,Asma 578,dificultad para respirar;dolor muscular;fatiga,Salbutamol solucion oral
131,Cistitis 166,dolor de cabeza;inflamacion;escalofrios,Losartan solucion oral
132,Artritis 844,dolor de cabeza;mareo;inflamacion,Insulina 500mg
133,Diabetes 11,fiebre;dolor muscular;mareo,Metformina 1g
134,Meningitis 429,erupciones;diarrea;tos,Amoxicilina solucion oral
135,Hipertension 364,erupciones;dolor de cabeza;fiebre;dolor abdominal,Prednisona solucion oral
136,Gripe 6,nauseas;vomitos,Prednisona solucion oral
137,Asma 502,dolor de cabeza;diarrea;mareo,Azitromicina solucion oral
138,Hipertension 646,dolor muscular;dolor articular,Insulina 1g
139,Hepatitis 67,fiebre;dolor muscular;inflamacion,Salbutamol 1g
140,Gripe 223,mareo;fatiga,Amoxicilina 500mg
141,Diabetes 183,dolor de cabeza;inflamacion,Omeprazol solucion oral
142,Asma 123,inflamacion;dolor muscular;mareo,Cetirizina 500mg
143,Bronquitis 350,tos,Azitromicina solucion oral
144,Bronquitis 681,fiebre,Omeprazol 500mg
